Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious/Critical,TotCases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
USA,5729757,28826,176922,588,3072779,10448,2480056,16881,17296.0,534.0,73688384,222444.0,331266944,North America
Brazil,3470517,10104,111443,254,2615254,0,743820,8318,16312.0,524.0,13729872,64531.0,212764278,South America
India,2904329,68507,54975,981,2157941,61873,691413,8944,2102.0,40.0,32661252,23636.0,1381826521,Asia
Russia,942106,4785,16099,110,755513,6090,170494,2300,6455.0,110.0,33500000,229541.0,145943139,Europe
South Africa,596060,0,12423,0,491441,0,92196,539,10033.0,209.0,3455671,58168.0,59408124,Africa
Peru,558420,0,26834,0,377453,0,154133,1516,16905.0,812.0,2852011,86339.0,33032637,South America
Mexico,537031,5792,58481,707,367537,4230,111013,3480,4159.0,453.0,1211552,9384.0,129114244,North America
Colombia,502178,0,15979,0,326298,0,159901,1493,9855.0,314.0,2337241,45868.0,50955514,South America
Chile,391849,1812,10671,93,366063,1778,15115,1077,20475.0,558.0,2087354,109067.0,19138335,South America
Iran,352558,2279,20264,139,304236,1708,28058,3869,4190.0,241.0,2939840,34942.0,84135807,Asia
Argentina,312659,0,6406,76,233651,4926,72602,1795,6909.0,142.0,1030992,22784.0,45251601,South America
Saudi Arabia,303973,1287,3548,42,275476,1385,24949,1682,8714.0,102.0,4501104,129026.0,34885189,Asia
Pakistan,290958,513,6209,8,272804,676,11945,725,1314.0,28.0,2363752,10674.0,221448449,Asia
Bangladesh,287959,2868,3822,41,168991,3253,115146,0,1746.0,23.0,1407556,8535.0,164909635,Asia
Italy,256118,840,35418,6,204686,180,16014,68,4237.0,586.0,7790596,128878.0,60449422,Europe
Turkey,254520,1412,6058,19,234797,882,13665,735,3013.0,72.0,6061930,71772.0,84460548,Asia
Germany,231188,1488,9324,10,204800,900,17064,231,2758.0,111.0,10197366,121657.0,83820751,Europe
France,229814,4771,30480,12,84065,0,115269,384,3520.0,467.0,6000000,91893.0,65293421,Europe
Iraq,192797,3995,6208,87,137200,2831,49389,614,4780.0,154.0,1368727,33931.0,40338162,Asia
Philippines,178022,4339,2883,88,114114,727,61025,717,1622.0,26.0,2193448,19981.0,109774529,Asia
Indonesia,147211,2266,6418,72,100674,2017,40119,0,537.0,23.0,1969941,7192.0,273911035,Asia
Canada,123653,163,9051,2,110049,227,4553,61,3272.0,240.0,4925446,130348.0,37786763,North America
Qatar,116224,268,193,0,112924,266,3107,64,41393.0,69.0,572273,203815.0,2807805,Asia
Ecuador,105508,1033,6200,54,87660,383,11648,331,5968.0,351.0,297376,16821.0,17678345,South America
Bolivia,105050,2031,4233,61,39965,1342,60852,71,8983.0,362.0,222251,19005.0,11694115,South America
Kazakhstan,103815,244,1415,0,86450,164,15950,221,5520.0,75.0,2291327,121836.0,18806642,Asia
Israel,99201,1232,795,14,74536,1444,23870,389,10786.0,86.0,2180096,237029.0,9197590,Asia
Ukraine,98537,2134,2184,40,50441,704,45912,177,2255.0,50.0,1356698,31048.0,43696575,Europe
Egypt,96914,0,5197,0,62553,0,29164,41,945.0,51.0,135000,1316.0,102585185,Africa
Dominican Republic,89010,883,1505,4,57734,974,29771,288,8194.0,139.0,335478,30884.0,10862509,North America
China,84895,7,4634,0,79745,60,516,24,59.0,3.0,90410000,62814.0,1439323776,Asia
Oman,83769,163,609,6,78386,198,4774,151,16351.0,119.0,309212,60357.0,5123074,Asia
Panama,83754,0,1827,0,58274,0,23653,157,19371.0,423.0,282232,65276.0,4323696,North America
Belgium,79479,582,9969,10,18078,30,51432,83,6854.0,860.0,2023900,174526.0,11596526,Europe
Kuwait,78767,622,509,2,70642,871,7616,94,18408.0,119.0,577588,134985.0,4278903,Asia
Romania,74963,1346,3154,48,34196,630,37613,489,3900.0,164.0,1591015,82781.0,19219490,Europe
Belarus,69950,149,627,5,67929,282,1394,0,7403.0,66.0,1437110,152093.0,9448891,Europe
